﻿Modèle,SN,N° Chargeur,Propriétaire,Statut,Garanti,Contrat,Commentaires,Date Garantie,Provenance,Date,Dernière modification,Dernière modification par
HP 240/245 G8,5CG1304QFX,,tquedevi (https://www.notion.so/tquedevi-83cab63b81064bba8edc6bdbf9a6f7cf?pvs=21),Promo 2022,Chèque,Oui,," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 11:20,Vivien
HP 240/245 G8,5CG1304QDV,,baksoy (https://www.notion.so/baksoy-5fdf669e4ec04449a4de1c8a8e6ee68d?pvs=21),Promo P2 - 2023,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 11:20,Vivien
HP 240/245 G8,5CG1304QBX,,smichael (https://www.notion.so/smichael-59a4d23941ac4449a07c77c6720bd6b5?pvs=21),Promo P2 - 2023,Aucune,Oui,," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 11:19,Vivien
HP 240/245 G8,5CG1192V1N,,,Autre,Aucune,Non,appartient au CAMPUS,,,,20 avril 2024 10:09,Vivien
HP 240/245 G8,5CG11702KT,,,Autre,Aucune,Non,appartient au CAMPUS,,,,20 avril 2024 10:09,Vivien
HP 240/245 G8,5CG1192TSZ,,,Autre,Aucune,Non,appartient au CAMPUS," 04/11/2021 -  03/11/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG11702LP,,,Autre,Aucune,Non,appartient au CAMPUS," 08/11/2021 -  07/11/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1485TW3,,,Prêt CSM,Aucune,Non,," 17/03/2022 -  16/03/2023",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1192V1Q,,,Autre,Aucune,Non,appartient au CAMPUS," 03/11/2021 -  02/11/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1304QCD,,,Vol,Aucune,Non,VOL CAMPUS 2022," 09/09/2021 -  08/09/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1485TVR,,,Vol,Aucune,Non,VOL CAMPUS 2022," 17/03/2022 -  16/03/2023",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1485TW8,,,Problème,Aucune,Non,problème wifi," 10/02/2022 -  09/02/2023",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1304QFM,,,Problème,Aucune,Non,Ne charge plus qu'importe le chargeur," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1304QFH,,,Problème,Aucune,Non,Pc en panne (ne s'allume plus) // Dead (pas de répa possible)," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1304QC3,,,Vol,Aucune,Non,VOL CAMPUS 2022," 27/07/2022 -  26/07/2023",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1304QFW,,,Prêt CSM,Aucune,Non,Maj 08/03 : Emprunté by Renaud," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 10:08,Vivien
HP 240/245 G8,5CG1192TVH,,,À RESET,Aucune,Non,PC Campus? Cf fiche matériel,,XEFI,,5 septembre 2024 12:35,Vivien
