﻿Modèle,SN,N° Chargeur,Propriétaire,Statut,Garanti,Contrat,Commentaires,Date Garantie,Provenance,Date,Dernière modification,Dernière modification par
HP 240/245 G8,5CG1485TVQ,52,dsamaky (https://www.notion.so/dsamaky-107333e8591746e393832a2d3b4f3052?pvs=21),Promo P1 - 2024,Aucune,Non,," 10/02/2022 -  09/02/2023",XEFI,,5 juillet 2024 15:39,Vivien
ASUS S14,R1N0CV12L25205C,,max92 (https://www.notion.so/max92-18b65cf655b04fe4a51c9463198af5dc?pvs=21),Promo 2022,Chèque,Oui,Dualboot / Prêt en attendant l’autre réparation,"2 ans, Jusqu'au 25/05/2025",Darty,,29 juin 2024 18:18,Vivien
ASUS R515EA,N3N0CV22P72013F,353838,nbenard (https://www.notion.so/nbenard-f59c0127f9fd4dda89022f4f3cf631fe?pvs=21),Promo P2 - 2023,Aucune,Non,Dualboot (avec un chargeur mais pas numéroté),Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,29 juin 2024 15:54,Vivien
HP 240/245 G8,5CG1304QDJ,47,,Stage,Aucune,Non,el mchachti eliass," 28/10/2021 -  27/10/2022",XEFI,,18 juin 2024 10:48,Vivien
HP 240/245 G8,5CG1304QFQ,58,jbenromd (https://www.notion.so/jbenromd-c46215637f87450989253bb35eb19fef?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,10 juin 2024 09:46,Yoann Letacq
ASUS R515EA,N3N0CV22P738132,79,bdelemos (https://www.notion.so/bdelemos-12a58a12f92c4eeb91da6fb240cf3b1f?pvs=21),Promo P2 - 2023,Aucune,Non,Dualboot,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,7 juin 2024 18:44,Vivien
HP 240/245 G8,5CG1304QCK,35,faoudia (https://www.notion.so/faoudia-e764de02a0534c8c8a5579b9eab7ac47?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 13:54,Vivien
HP 240/245 G8,5CG1304QCV,44,ybellaho (https://www.notion.so/ybellaho-c81f0103019747cfb8f8a47f96186dc5?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:29,Yoann Letacq
HP 240/245 G8,5CG1304QF0,80,tkorhone (https://www.notion.so/tkorhone-6bb504a0b39f44039754868e9d5dc1c3?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:29,Yoann Letacq
HP 240/245 G8,5CG1304QFC,36,msoumare (https://www.notion.so/msoumare-93c7ca99045f47c9a86d742184122e39?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:28,Yoann Letacq
HP 240/245 G8,5CG1304QC5,38,lmarchet (https://www.notion.so/lmarchet-99020c0a2118472eb038b735ee88e792?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:27,Yoann Letacq
HP 240/245 G8,5CG1485TWJ,40,dbourcie (https://www.notion.so/dbourcie-cc95ac24bb2749348801d02d11782342?pvs=21),Promo P1 - 2024,Aucune,Non,," 17/03/2022 -  16/03/2023",XEFI,,3 juin 2024 11:26,Yoann Letacq
HP 240/245 G8,5CG1485TWK,39,ajoly (https://www.notion.so/ajoly-eccbc0522c824614b92ecec5fba9cb6d?pvs=21),Promo P1 - 2024,Aucune,Non,," 08/02/2022 -  07/02/2023",XEFI,,3 juin 2024 11:24,Yoann Letacq
HP 240/245 G8,5CG1485TVK,59,tvallois (https://www.notion.so/tvallois-092e2f4a574646f2b9b4782b2f453bb6?pvs=21),Promo P1 - 2024,Aucune,Non,," 09/03/2022 -  08/03/2023",XEFI,,3 juin 2024 11:22,Yoann Letacq
HP 240/245 G8,5CG1304QC1,51,ncourtel (https://www.notion.so/ncourtel-34ef3734963044e9bbe97ccea067fc84?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:21,Yoann Letacq
HP 240/245 G8,5CG1304QCJ,37,mouldmoh (https://www.notion.so/mouldmoh-7aa723c06686420298899b48a3ef284e?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:20,Yoann Letacq
HP 240/245 G8,5CG1304QF9,44,ndossant (https://www.notion.so/ndossant-5613806474de49639e01438f7bb184cd?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:17,Yoann Letacq
HP 240/245 G8,5CG1304QFR,34,acasimir (https://www.notion.so/acasimir-dff6e58229884e85ae0a258e24cbfd99?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,3 juin 2024 11:15,Yoann Letacq
HP 240/245 G8,5CG1304QF2,,mcatelai (https://www.notion.so/mcatelai-d832690e160c4e4d8b5e03d45a74fe5f?pvs=21),Promo P1 - 2023,Application,Oui,," 28/10/2021 -  27/10/2022",XEFI,,25 avril 2024 15:31,Vivien
HP 240/245 G8,5CG1304QDR,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,25 avril 2024 15:31,Vivien
HP 240/245 G8,5CG1304QCF,,,Vol,Aucune,Non,VOL CAMPUS 2022," 19/05/2022 -  18/05/2023",XEFI,,22 avril 2024 11:44,Vivien
HP 240/245 G8,5CG1304QC2,,ondiaye (https://www.notion.so/ondiaye-1fbe39b7b380441c88a235cf2a742e1b?pvs=21),Promo P2 - 2023,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,22 avril 2024 11:28,Lagrue Bastien
ASUS R515EA,N3N0CV22P73613E,,btaoufik (https://www.notion.so/btaoufik-2b4d480a7732401284007f53052d2687?pvs=21),Promo P2 - 2023,Aucune,Non,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,22 avril 2024 11:28,Lagrue Bastien
HP 240/245 G8,5CG1485TWF,,jemerald (https://www.notion.so/jemerald-a0d89a5a7eee45df872abb86693abf73?pvs=21),Promo P2 - 2023,Aucune,Non,," 10/02/2022 -  09/02/2023",XEFI,,22 avril 2024 11:28,Lagrue Bastien
HP 240/245 G8,5CG1304QCM,,mdepreau (https://www.notion.so/mdepreau-b26adb41dd0043a2b163050131877f8f?pvs=21),Promo P2 - 2023,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,22 avril 2024 11:27,Lagrue Bastien
HP 240/245 G8,5CG1485TWR,,,Prêt CSM,Aucune,Non,"Problème de connexion, réseau introuvable CAMPUS"," 08/02/2022 -  07/02/2023",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1404QFN,,,Prêt CSM,Aucune,Non,CAMPUS," 11/10/2021 -  14/11/2024",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1304QCN,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1485TVM,,,Prêt CSM,Aucune,Non,Maj 08/03 : Emprunté by Renaud CAMPUS," 09/03/2022 -  08/03/2023",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1485TV7,,,Prêt CSM,Aucune,Non,CAMPUS," 08/02/2022 -  07/02/2023",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1485TV6,,,Prêt CSM,Aucune,Non,CAMPUS," 21/11/2022 -  20/11/2023",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1304QC4,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1304QFP,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:29,Vivien
HP 240/245 G8,5CG1304QDB,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:28,Vivien
HP 240/245 G8,5CG1304QFF,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:28,Vivien
HP 240/245 G8,5CG1304QD5,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:28,Vivien
HP 240/245 G8,5CG1304QCY,,,Prêt CSM,Aucune,Non,CAMPUS," 28/10/2021 -  27/10/2022",XEFI,,20 avril 2024 16:28,Vivien
ASUS S14,R1N0CV12L31505E,,fboubeke (https://www.notion.so/fboubeke-8c81867d73c745a19ec385c402e9399a?pvs=21),Promo P2 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:56,Vivien
ASUS S14,R1N0CV12L169053,,lolivier (https://www.notion.so/lolivier-615fb52813344d1f9cbfa2a3924cd732?pvs=21),Promo P2 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:55,Vivien
ASUS S14,R1N0CV12L355052,,ecornu (https://www.notion.so/ecornu-0180c7de42794eddb18ee039ac813cc2?pvs=21),Promo P2 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:55,Vivien
ASUS S14,R1N0CV12L205057,,Ma2x (https://www.notion.so/Ma2x-7cd1e2281beb4cc08af1d2133bcf7c10?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:55,Vivien
ASUS S14,R1N0CV12L28105B,,MahdiAbdessalem (https://www.notion.so/MahdiAbdessalem-6724cfe496df4822a4d20e8645662ba9?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:55,Vivien
ASUS S14,R1N0CV12L156050,,gbenard (https://www.notion.so/gbenard-770b3fa8a04c46c4a34a501523adbb85?pvs=21),Promo P2 - 2023,Aucune,Non,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:54,Vivien
ASUS S14,R1N0CV12L230059,,bbradley (https://www.notion.so/bbradley-663f44beb91b44c2b7100f120b869732?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:54,Vivien
ASUS S14,R1N0CV12L007054,,N1c0 (https://www.notion.so/N1c0-b49bc7e7072e4bf6a2c44e62249cc662?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:53,Vivien
ASUS S14,R1N0CV12L27705C,,AdrienR (https://www.notion.so/AdrienR-122576496e884ae2b10f225928c30e4a?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:53,Vivien
ASUS S14,R1N0CV12L15905C,,Doblaz (https://www.notion.so/Doblaz-e2d4a5f4d2964029936f9e13c7b85130?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:53,Vivien
ASUS S14,R1N0CV12L181059,,Svalbard (https://www.notion.so/Svalbard-dd6298cbd0364d0b9a53baa334582f56?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:52,Vivien
ASUS S14,R1N0CV12L18005C,,YHA (https://www.notion.so/YHA-c8c05087fe89416c9ca783247ad8d1d1?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:52,Vivien
ASUS S14,R1N0CV12L468055,,aferrand (https://www.notion.so/aferrand-5fcb3e8bcc5c40fc85c4922fc3cfa6a0?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:52,Vivien
ASUS S14,R1N0CV12L16605B,,Ulrik (https://www.notion.so/Ulrik-6a2c94356925413981175ab246f0cd53?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:52,Vivien
ASUS S14,R1N0CV12L27905B,,gthenard (https://www.notion.so/gthenard-114d80b9772b44eaab49e947e1420ad2?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:52,Vivien
ASUS S14,R1N0CV12L204051,,mmarchai (https://www.notion.so/mmarchai-1d7b5df106a6419b85a15aace7cbf6d1?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:52,Vivien
ASUS S14,R1N0CV12L17805B,,agrenier (https://www.notion.so/agrenier-acdc955bfe3440578652733ff649db7d?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:51,Vivien
ASUS S14,R1N0CV12K985059,,cairem (https://www.notion.so/cairem-0be4a9ff02254f07aa2d97cbc0487380?pvs=21),Promo P1 - 2023,Chèque,Oui,A rendu un chargeur qui ne fonctionnait plus (en a récupéré un neuf),"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:51,Vivien
ASUS S14,R1N0CV12L21805F,,sfabunmi (https://www.notion.so/sfabunmi-14d272f2bc6a4ee4b0fb0e60a7b2aba7?pvs=21),Promo P1 - 2023,Aucune,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:51,Vivien
ASUS S14,R1N0CV12L316058,,jmurenzi (https://www.notion.so/jmurenzi-6ecc84e642c844ec80d7bd669f60b667?pvs=21),Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:51,Vivien
ASUS S14,R1N0CV12L192052,,lunterei (https://www.notion.so/lunterei-3912d723993f4e41b921f78e4d70c5ff?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:51,Vivien
ASUS S14,R1N0CV12L23605B,,mdubois (https://www.notion.so/mdubois-e0025274e06f42fe9d55a50371696319?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L28405G,,rlovergn (https://www.notion.so/rlovergn-70ac9f9f5e3648d98ba246432861f8e2?pvs=21),Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L362058,,afouquem (https://www.notion.so/afouquem-976fa5fa162d4ea48fc50e33d1667eaa?pvs=21),Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L20605F,,twolf (https://www.notion.so/twolf-512b3b6ffddf4f79836aaf3b9eaedfe2?pvs=21),Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L23405E,,aguillen (https://www.notion.so/aguillen-0abac9b521094926a0afe14f272dafd4?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L17405E,,aelkarou (https://www.notion.so/aelkarou-3e8598859dcc4c2392512ff62700d70f?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L21605B,,vbohers (https://www.notion.so/vbohers-b13b0a9ab1f4436a9fb6f086bf8ba988?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L22105C,,dgobe (https://www.notion.so/dgobe-150fb5c6849e4066bcd1a878716d8fe2?pvs=21),Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:50,Vivien
ASUS S14,R1N0CV12L28205A,,kcastel (https://www.notion.so/kcastel-eb66d939adcf4094b597086048d40f44?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L23205A,,jboitrel (https://www.notion.so/jboitrel-1eb511efd9754537acb44dc45e6dc6a3?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L17605B,,abaudry (https://www.notion.so/abaudry-02ed65f4422142609dbb2ff9738d4866?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L256052,,lvelard (https://www.notion.so/lvelard-f27dbb92d4ea4441a5f37e135db147e3?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L134056,,hbenlahc (https://www.notion.so/hbenlahc-c83ee1bb38dc4cf392c95d3504b27e7e?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L50105B,,Dyzer (https://www.notion.so/Dyzer-2c1b2bffb8374465b36faa4f80a4d013?pvs=21),Promo P1 - 2023,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L1830SC,,jvasse (https://www.notion.so/jvasse-13e9745a9bf64c6d9076456e130f397e?pvs=21),Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:49,Vivien
ASUS S14,R1N0CV12L33305C,,DarylParisi (https://www.notion.so/DarylParisi-1628714b290549d981bf7729b9e042b8?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:48,Vivien
ASUS S14,R1N0CV12L23905D,,Ales (https://www.notion.so/Ales-44e01bbd8fdc4ce9ba3d9af017e0667d?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:48,Vivien
ASUS S14,R1N0CV12L170059,,,Promo P1 - 2023,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:48,Vivien
ASUS S14,R1N0CV12L224059,,Quentin (https://www.notion.so/Quentin-efc9603f827249c4894eeaaa99ed9184?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:48,Vivien
ASUS S14,R1N0CV12L223053,,emevel (https://www.notion.so/emevel-2945da3333b0450ca20ff75d2ec80ad5?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:47,Vivien
ASUS S14,R1N0CV12L158053,,yasxminah (https://www.notion.so/yasxminah-27685ad382744f1a983f8e4069d515ba?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:47,Vivien
ASUS S14,R1N0CV12L207056,,adoublet (https://www.notion.so/adoublet-dc552b31a6594029a9b5358916d888a9?pvs=21),Promo P2 - 2023,Aucune,Non,PRET AMANDINE,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:47,Vivien
ASUS S14,R1N0CV12L211051,21,clement (https://www.notion.so/clement-5ef44464be53407190fecc76b7b1a5e2?pvs=21),Promo 2022,Aucune,Non,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:46,Vivien
ASUS S14,R1N0CV12L200059,,VincentCranney (https://www.notion.so/VincentCranney-8b18ff66a9e642fd90e2ab3831d6a5a0?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:46,Vivien
ASUS S14,R1N0CV12L271059,,alangloi (https://www.notion.so/alangloi-bec662a2040843ffa5697d9bde9b8e7a?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:46,Vivien
ASUS S14,R1N0CV12L19805B,,Math19436 (https://www.notion.so/Math19436-20b23518f4794532ad71478bfad28fef?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:45,Vivien
ASUS S14,R1N0CV12L421059,,yann76 (https://www.notion.so/yann76-e287d5fc820640f2947a15716cd67551?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:45,Vivien
ASUS S14,R1N0CV12L161058,,mlahbib (https://www.notion.so/mlahbib-c85277d8148c4db2a776da09da629500?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:45,Vivien
ASUS S14,R1N0CV12L226056,,Guibar (https://www.notion.so/Guibar-ce7660e985a64b9cb81d9767e74ee991?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:44,Vivien
ASUS S14,R1N0CV12L193058,,athiellana (https://www.notion.so/athiellana-d3a692c2d36340df922aae2ec59e2b1c?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:44,Vivien
ASUS S14,R1N0CV12L213050,,mus_36 (https://www.notion.so/mus_36-97af7427894b4974b64710befa4274be?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:44,Vivien
ASUS S14,R1N0CV12LK976059,,Elkantar (https://www.notion.so/Elkantar-97cd74adbe644ee58551e832e934d096?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:41,Vivien
ASUS S14,R1N0CV12L04805B,,yyoannle (https://www.notion.so/yyoannle-bd0eb14e11964b1fac62a0aa70255b46?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:40,Vivien
ASUS S14,R1N0CV12L313056,,mboissel (https://www.notion.so/mboissel-3400c51acbb7486181c013b1ddb00595?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:40,Vivien
ASUS S14,R1N0CV12L18205F,,mukenge (https://www.notion.so/mukenge-2b62292cc6c94b00b58c535b3ad90128?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:39,Vivien
ASUS S14,R1N0CV12K9105E,,Mathis (https://www.notion.so/Mathis-7c65de85acca489c89904074958b618d?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:39,Vivien
ASUS S14,R1N0CV12L26105H,,Kenny (https://www.notion.so/Kenny-1cde09d03449481da2d0322a428acda9?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:39,Vivien
ASUS S14,R1N0CV12L270058,,haboumou (https://www.notion.so/haboumou-6c9a4a531ad74309838b0d1bd8a8066d?pvs=21),Promo 2022,Chèque,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:39,Vivien
ASUS S14,R1N0CV12L123058,,Santos (https://www.notion.so/Santos-87744f8588074a7392432197ade070db?pvs=21),Promo 2022,Application,Oui,,"2 ans, Jusqu'au 25/05/2025",Darty,,20 avril 2024 11:39,Vivien
NB50TZ,V@-AYX-120123-034,,tvasseli (https://www.notion.so/tvasseli-00e8c379c3254289a69d8f1500beff75?pvs=21),Problème,Aucune,Non,"Abandon (rep 7-9/03) - 06 65 30 26 46
Plusieurs relances mais pas de retour matériel","1 an, Jusqu'au 24/01/2024",WeeeFund,,20 avril 2024 11:38,Vivien
NB50TZ,V@-AYX-120123-025,,gneveu (https://www.notion.so/gneveu-29231bb01c414cbeae3f5378505c0ea9?pvs=21),Promo P1 - 2023,Application,Oui,Maj 01/04 : Bureau,"1 an, Jusqu'au 24/01/2024",WeeeFund,,20 avril 2024 11:38,Vivien
NB50TZ,V@-AYX-120123-027,,lpleinte (https://www.notion.so/lpleinte-7ffa47ac58f54f56ac08a7d737744899?pvs=21),Promo P1 - 2023,Application,Oui,,"1 an, Jusqu'au 24/01/2024",WeeeFund,,20 avril 2024 11:38,Vivien
NB50TZ,V@-AYX-120123-028,,mfeugere (https://www.notion.so/mfeugere-619aa43be52b43a889ebe2443f187f13?pvs=21),Promo P1 - 2023,Chèque,Oui,,"1 an, Jusqu'au 24/01/2024",WeeeFund,,20 avril 2024 11:38,Vivien
ASUS R515EA,N3N0CV22P70913D,,imazlin (https://www.notion.so/imazlin-214ff84fe82148c2880e2ce2661f5425?pvs=21),Promo P2 - 2023,Application,Non,,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,20 avril 2024 11:37,Vivien
ASUS R515EA,N3N0CV22P77013F,,ehouziau (https://www.notion.so/ehouziau-38da743217ca419caae34915754731a9?pvs=21),Promo P2 - 2023,Application,Oui,,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,20 avril 2024 11:37,Vivien
ASUS R515EA,N3N0CV22P71313D,,,"Problème, À RESET",Aucune,Non,Cf. Fiche pour problème,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,14 septembre 2024 10:54,Vivien
ASUS R515EA,N3N0CV22P781134,,rlhacheq (https://www.notion.so/rlhacheq-e6d45d78b3b64297832b2380b56b9b10?pvs=21),Promo P2 - 2023,Application,Oui,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,20 avril 2024 11:37,Vivien
ASUS R515EA,N3N0CV22P77713A,,lporte (https://www.notion.so/lporte-bf7b958049bf45ba86c3a39740ce0001?pvs=21),Promo P2 - 2023,Application,Oui,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,20 avril 2024 11:36,Vivien
ASUS R515EA,N3N0CV22P780139,,bgregory (https://www.notion.so/bgregory-13748f3c068b4295b7d93ebd42728fe8?pvs=21),Promo 2022,Application,Oui,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,20 avril 2024 11:36,Vivien
ASUS R515EA,N3N0CV22P76313G,,slecureu (https://www.notion.so/slecureu-149c564a34d1455ea376937bcdf49fb6?pvs=21),Promo P2 - 2023,Chèque,Oui,,Constructeur 2 ans Jusqu'au 01/10/2024,LDLC,,20 avril 2024 11:35,Vivien
